"Familiarity","WillingnessToTry","Interest","FlyingExperience","AirshowExperience","PerceivedReliability","EnvironmentalConcern","WillingnessToPay","ImportanceOfTimeSavings","ImportanceOfTrafficAvoidance","ImportanceOfConvenience","ImportanceOfEnvBenefits","ComfortWithFlying","MainConcern","DemonstrationInterest","AAMUseCases","OhioTesting","AgeGroup","IncomeLevel","AreaType","enc_WillingnessToTry","enc_Interest","enc_PerceivedReliability","enc_EnvironmentalConcern","enc_ComfortWithFlying","enc_FlyingExperience","enc_AirshowExperience","enc_DemonstrationInterest","enc_OhioTesting","enc_WillingnessToPay","enc_IncomeLevel","enc_AreaType"
"Yes","Somewhat likely","Extremely interested","Commercial airplane (like American Airlines or Delta),Private airplane","Yes","Somewhat unreliable","Very important","Up to 50% more",1,2,3,4,"Neither comfortable nor uncomfortable","Crowded airspace, noise, weather factors","Yes","To bypass busy city traffic or long distances","Maybe","18 - 25","$100,001 - $150,000","Suburban","1","2","-1","1","0",1,"1","1","0","0.5","5","2"
"Yes","Somewhat unlikely","Extremely uninterested","Helicopter,Commercial airplane (like American Airlines or Delta),Private airplane","Yes","Extremely reliable","Moderately important","No more than a regular taxi/ride-share",3,1,2,4,"Extremely uncomfortable",NA,"Yes","Avoid traffic congestion ","Yes","56+",NA,"Suburban","-1","-2","2","0","-2",1,"1","1","1","0",NA,"2"
"Yes","Somewhat likely","Somewhat interested","Helicopter,Commercial airplane (like American Airlines or Delta),Private airplane","Yes","Somewhat unreliable","Very important","No more than a regular taxi/ride-share",2,1,4,3,"Neither comfortable nor uncomfortable","Interaction with existing air traffic","Yes","Areas of road construction, going places where I don't want to have a car","Maybe","18 - 25","Less than $25,000","Suburban","1","1","-1","1","0",1,"1","1","0","0","1","2"
"Yes","Extremely unlikely","Somewhat uninterested","Helicopter,Commercial airplane (like American Airlines or Delta),Private airplane","Yes","Neutral","Extremely important","More than double",1,2,3,4,"Somewhat uncomfortable","Air traffic control. Bad enough now with the current system. Not just anybody can be a PILOT","No","Air traffic control. Training of the potential pilot","Maybe","56+","Over $150,000","Urban","-2","-1","0","2","-1",1,"1","-1","0","2","6","3"
"Yes","Somewhat unlikely","Somewhat interested","Commercial airplane (like American Airlines or Delta),Private airplane","Yes","Somewhat reliable","Extremely important","No more than a regular taxi/ride-share",2,3,1,4,"Somewhat uncomfortable","Safety.","Yes","When I need to get somewhere urgently. ","Yes","26 - 35","Less than $25,000","Suburban","-1","1","1","2","-1",1,"1","1","1","0","1","2"
"Yes","Somewhat likely","Extremely interested","Helicopter,Commercial airplane (like American Airlines or Delta),Private airplane","No","Somewhat reliable","Extremely important","Up to 50% more",2,1,3,4,"Somewhat comfortable","Nothing ","Yes","Going inside and out of the airport ","Yes","26 - 35","Less than $25,000","Urban","1","2","1","2","1",1,"-1","1","1","0.5","1","3"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Yes","Somewhat likely","Somewhat interested","Commercial airplane (like American Airlines or Delta),Private airplane","Maybe","Neutral","Moderately important","Up to 25% more",2,4,1,3,"Somewhat comfortable",NA,"Yes",NA,"Yes","18 - 25","$100,001 - $150,000","Suburban","1","1","0","0","1",1,"0","1","1","0.25","5","2"
"Yes","Extremely unlikely","Neutral","Helicopter,Commercial airplane (like American Airlines or Delta),Private airplane","Yes","Extremely unreliable","Moderately important","No more than a regular taxi/ride-share",1,2,3,4,"Extremely uncomfortable","Loss of control","Yes","None","Maybe","56+","$25,000 - $50,000","Suburban","-2","0","-2","0","-2",1,"1","1","0","0","2","2"
"Yes","Extremely likely","Extremely interested","Commercial airplane (like American Airlines or Delta),Private airplane","Yes","Somewhat unreliable","Moderately important","No more than a regular taxi/ride-share",2,1,3,4,"Extremely comfortable","If these ever evolve beyond a way to separate easily fleeced speculative investors from their money, they will eventually become just one more way for the super wealthy to avoid the unwashed masses.  Meere mortals will NEVER be able to afford using them.","No","Only if piloted in person by an FAA certified Commercial rotocraft pilot.","No","56+",NA,"Rural","2","2","-1","0","2",1,"1","-1","-1","0",NA,"1"
"Yes","Somewhat likely","Somewhat interested","Private airplane","Yes","Neutral","Very important","Up to 50% more",4,2,3,1,"Neither comfortable nor uncomfortable","Pilotage and reliability","Yes","After extensive testing, and if operated by a pilot, any situation. ","Maybe","56+","$75,001 - $100,000","Rural","1","1","0","1","0",1,"1","1","0","0.5","4","1"
"Yes","Somewhat likely","Somewhat interested","Commercial airplane (like American Airlines or Delta)","Yes","Neutral","Moderately important","Up to 25% more",3,1,2,4,"Somewhat comfortable","Just the unknown","Yes",NA,"Yes","46 - 55","Over $150,000","Suburban","1","1","0","0","1",1,"1","1","1","0.25","6","2"
"Yes","Extremely likely","Extremely interested","Commercial airplane (like American Airlines or Delta),Private airplane","Yes","Extremely reliable","Extremely important","Up to 25% more",1,2,3,4,"Extremely comfortable","Technology and regulatory issues are not coming together fast enough","Yes","Every time","Yes","46 - 55","Over $150,000","Rural","2","2","2","2","2",1,"1","1","1","0.25","6","1"
"Yes","Somewhat likely","Somewhat interested","Commercial airplane (like American Airlines or Delta)","No","Somewhat reliable","Very important","Up to 25% more",1,2,3,4,"Neither comfortable nor uncomfortable",NA,"Yes",NA,"Maybe","26 - 35","$25,000 - $50,000","Suburban","1","1","1","1","0",1,"-1","1","0","0.25","2","2"
"Yes",NA,NA,"Helicopter,Commercial airplane (like American Airlines or Delta),Private airplane","Yes","Somewhat unreliable","Very important","Up to 100% more (double)",1,2,3,4,"Somewhat uncomfortable","cyber cecurity is concern. poor maintenance practices by the operator may lead to safety. noise and debries will make it impossible to land anywhere residential, which will require a deticated landing zone so no different from currently available helicopters.","Yes","to save time if traveling to areas known to have traffic congestion, or avoid driving through unsafe area.","Maybe","36 - 45","Over $150,000","Suburban",NA,NA,"-1","1","-1",1,"1","1","0","1","6","2"
"Yes","Somewhat likely","Somewhat interested","Private airplane","Yes","Extremely reliable","Very important","Up to 100% more (double)",1,2,3,4,"Somewhat comfortable","safety profile","Yes","navigating a usually congested route","Maybe","56+","$25,000 - $50,000","Suburban","1","1","2","1","1",1,"1","1","0","1","2","2"
"Yes","Extremely unlikely","Extremely uninterested","Helicopter,Commercial airplane (like American Airlines or Delta),Private airplane","Yes","Extremely unreliable","Extremely important",NA,NA,NA,NA,NA,NA,"I would NEVER get in one.  ","No","NEVER","No","56+",NA,"Rural","-2","-2","-2","2",NA,1,"1","-1","-1",NA,NA,"1"
"Yes","Extremely likely","Extremely interested","Helicopter,Commercial airplane (like American Airlines or Delta)","Yes","Somewhat reliable","Extremely important","Up to 25% more",1,2,3,4,"Somewhat comfortable","Safety","Yes","Time where flying is faster.","Maybe","26 - 35","$75,001 - $100,000","Suburban","2","2","1","2","1",1,"1","1","0","0.25","4","2"
"Yes","Extremely unlikely","Extremely uninterested","Commercial airplane (like American Airlines or Delta),Private airplane","No","Extremely unreliable","Very important","Up to 25% more",1,3,2,4,"Neither comfortable nor uncomfortable","The licensing ","No","If there’s a lot of traffic","Maybe","18 - 25","$100,001 - $150,000","Suburban","-2","-2","-2","1","0",1,"-1","-1","0","0.25","5","2"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Yes","Neutral","Neutral","Commercial airplane (like American Airlines or Delta),Private airplane","Yes","Neutral","Very important","Up to 25% more",1,2,3,4,"Somewhat uncomfortable","Noise pollution","Maybe","Time savinh","Maybe","56+","$100,001 - $150,000","Suburban","0","0","0","1","-1",1,"1","0","0","0.25","5","2"
"Yes","Neutral","Extremely interested","Helicopter,Commercial airplane (like American Airlines or Delta),Private airplane","Yes","Somewhat unreliable","Extremely important","Up to 25% more",2,1,3,4,"Extremely uncomfortable","Crashing on people or property.","Yes","Extreme congrestion ","Maybe","56+","Over $150,000","Suburban","0","2","-1","2","-2",1,"1","1","0","0.25","6","2"
"Yes","Neutral","Somewhat interested","Commercial airplane (like American Airlines or Delta)","No","Somewhat reliable","Extremely important","Up to 25% more",2,3,4,1,"Somewhat uncomfortable","The CO2 Emissions mostly","Yes","Time savings ","Maybe","18 - 25","Less than $25,000","Urban","0","1","1","2","-1",1,"-1","1","0","0.25","1","3"
"Yes","Somewhat likely","Somewhat interested","Helicopter,Commercial airplane (like American Airlines or Delta),Private airplane","Yes","Somewhat unreliable","Very important","Up to 50% more",2,1,3,4,"Neither comfortable nor uncomfortable","High costs and production capacity excluding the wider market","Yes","Connecting flights between airports","Yes","18 - 25","Less than $25,000","Suburban","1","1","-1","1","0",1,"1","1","1","0.5","1","2"
"Yes","Somewhat likely","Somewhat interested","Helicopter,Commercial airplane (like American Airlines or Delta),Private airplane","Yes","Extremely reliable","Not at all important","No more than a regular taxi/ride-share",1,2,3,4,"Neither comfortable nor uncomfortable","Affordable transportation","Maybe","Significant time saving","Maybe","56+","$100,001 - $150,000","Urban","1","1","2","-2","0",1,"1","0","0","0","5","3"
"Yes","Somewhat likely","Somewhat interested","Commercial airplane (like American Airlines or Delta)","No","Somewhat unreliable","Very important","Up to 50% more",2,4,3,1,"Somewhat uncomfortable","Crashing and/or running out of fuel.","Yes","If I needed to travel somewhere fast or a long distance.","Yes","18 - 25","Less than $25,000","Rural","1","1","-1","1","-1",1,"-1","1","1","0.5","1","1"
"Yes","Somewhat likely","Somewhat interested","Commercial airplane (like American Airlines or Delta),Private airplane","Yes","Somewhat reliable","Very important","Up to 25% more",2,3,1,4,"Somewhat uncomfortable","Congestion ","Yes","To substitute a car ride that would normally take between 1.5 - 4 hours. ","Yes","18 - 25","$50,001 - $75,000","Urban","1","1","1","1","-1",1,"1","1","1","0.25","3","3"
"Yes","Somewhat unlikely","Somewhat interested","Private airplane","Yes","Extremely unreliable","Very important","Up to 25% more",1,2,3,4,"Somewhat uncomfortable","Air congestion , profit before safety , more regulation of small aircraft traffic","Yes","Avoiding traffic congestion for distances over 50 miles","Maybe","56+",NA,"Suburban","-1","1","-2","1","-1",1,"1","1","0","0.25",NA,"2"
"Yes","Extremely unlikely","Extremely uninterested","Commercial airplane (like American Airlines or Delta),Private airplane","Yes","Extremely unreliable","Extremely important","No more than a regular taxi/ride-share",4,3,2,1,"Extremely uncomfortable","The qualifications of the pilot who has to be on board.","Yes","None","Yes","56+","$75,001 - $100,000","Suburban","-2","-2","-2","2","-2",1,"1","1","1","0","4","2"
"Yes","Extremely likely","Extremely interested","Helicopter,Commercial airplane (like American Airlines or Delta)","No","Somewhat reliable","Very important","Up to 25% more",2,1,3,4,"Somewhat comfortable","Safety","Yes","Airport pickup, intercity trip","Yes","26 - 35","$25,000 - $50,000","Suburban","2","2","1","1","1",1,"-1","1","1","0.25","2","2"
"Yes","Extremely unlikely","Neutral","Private airplane","Yes","Somewhat unreliable","Moderately important","No more than a regular taxi/ride-share",2,1,4,3,"Somewhat uncomfortable",NA,"Yes","busier ATC ","Maybe","18 - 25","Over $150,000","Suburban","-2","0","-1","0","-1",1,"1","1","0","0","6","2"
"Yes","Extremely likely","Extremely uninterested","Commercial airplane (like American Airlines or Delta),Private airplane","Yes","Extremely reliable","Slightly important","Up to 100% more (double)",1,3,2,4,"Extremely comfortable","Safety ","Yes","Work commute ","Yes","36 - 45","Over $150,000","Suburban","2","-2","2","-1","2",1,"1","1","1","1","6","2"
"Yes","Somewhat likely","Somewhat interested","Commercial airplane (like American Airlines or Delta)","Yes","Somewhat reliable","Slightly important","Up to 25% more",3,1,2,4,"Somewhat comfortable","Traffic with planes","Yes","Going across the same state","Yes","18 - 25","$50,001 - $75,000","Suburban","1","1","1","-1","1",1,"1","1","1","0.25","3","2"
"Yes","Somewhat likely","Somewhat interested","Helicopter,Commercial airplane (like American Airlines or Delta),Private airplane","Yes","Extremely reliable","Moderately important","Up to 50% more",2,1,3,4,"Somewhat comfortable",NA,"Yes","When considerable time savings could be achieved","Maybe","36 - 45","Over $150,000","Suburban","1","1","2","0","1",1,"1","1","0","0.5","6","2"
"Yes","Somewhat likely","Extremely interested","Helicopter,Commercial airplane (like American Airlines or Delta),Private airplane","Yes","Somewhat reliable","Moderately important","No more than a regular taxi/ride-share",1,3,2,4,"Somewhat comfortable","Safety through validated tests.","Yes","Time and convenience","Yes","36 - 45","Over $150,000","Urban","1","2","1","0","1",1,"1","1","1","0","6","3"
"Yes","Neutral","Somewhat interested","Private airplane","No","Neutral","Extremely important","No more than a regular taxi/ride-share",2,1,3,4,"Neither comfortable nor uncomfortable","Safety","Maybe","Emergency","Maybe","56+","$50,001 - $75,000","Rural","0","1","0","2","0",1,"-1","0","0","0","3","1"
"Yes","Somewhat unlikely","Extremely uninterested","Helicopter,Commercial airplane (like American Airlines or Delta),Private airplane","Yes","Extremely reliable","Very important","Up to 50% more",3,1,2,4,"Somewhat comfortable","accidents","Yes","save time","Yes","56+","Over $150,000","Suburban","-1","-2","2","1","1",1,"1","1","1","0.5","6","2"
"Yes","Somewhat likely","Somewhat interested","Helicopter,Commercial airplane (like American Airlines or Delta),Private airplane","Yes","Somewhat reliable","Moderately important","Up to 50% more",2,3,1,4,"Somewhat comfortable","Expensive and probably noisy","Yes","short distances in congested area","Maybe","56+","Over $150,000","Suburban","1","1","1","0","1",1,"1","1","0","0.5","6","2"
"Yes","Somewhat likely","Extremely interested","Commercial airplane (like American Airlines or Delta)","No","Neutral","Very important","Up to 25% more",1,2,3,4,"Somewhat uncomfortable","How it would land or deal with birds flying toward it.","Yes","If traffic was unbearable and if I could enjoy the scenery in a cross country travel/ride.","Yes","18 - 25","$25,000 - $50,000","Suburban","1","2","0","1","-1",1,"-1","1","1","0.25","2","2"
"Yes","Extremely likely","Extremely interested","Helicopter,Commercial airplane (like American Airlines or Delta),Private airplane","Yes","Somewhat reliable","Very important","Up to 100% more (double)",1,2,3,4,"Somewhat comfortable","who is the pilot, not a quote","Maybe","not having to deal with traffic rush hour","Maybe","56+","Over $150,000","Suburban","2","2","1","1","1",1,"1","0","0","1","6","2"
"Yes","Extremely unlikely","Somewhat uninterested","Helicopter,Commercial airplane (like American Airlines or Delta),Private airplane","Yes","Somewhat unreliable","Slightly important","Up to 25% more",2,1,3,4,"Somewhat uncomfortable","Congested airspace","Maybe","Emergencies","Maybe","46 - 55","$100,001 - $150,000","Suburban","-2","-1","-1","-1","-1",1,"1","0","0","0.25","5","2"
"Yes","Extremely unlikely","Neutral","Commercial airplane (like American Airlines or Delta),Private airplane","Yes","Somewhat unreliable","Not at all important","Up to 50% more",1,2,3,4,"Extremely uncomfortable","New technology is inherently unreliable until the bugs have been worked out.  I don't want to be in an aircraft likely to have flaws not realized until many hours have been accumulated.  This ""infant mortality"" is a factor in all new technology, not specific to aviation.","Yes","None","Yes","56+","$75,001 - $100,000","Rural","-2","0","-1","-2","-2",1,"1","1","1","0.5","4","1"
"No","Extremely unlikely","Extremely uninterested","None of the above","No","Extremely unreliable","Extremely important","No more than a regular taxi/ride-share",NA,NA,NA,NA,"Extremely uncomfortable","Where do I get off","No","For someone I disliked.  Maybe an old politician","No","26 - 35","$25,000 - $50,000","Suburban","-2","-2","-2","2","-2",0,"-1","-1","-1","0","2","2"
"Yes","Extremely likely","Extremely interested","Commercial airplane (like American Airlines or Delta),Private airplane","No","Somewhat reliable","Very important","Up to 25% more",2,4,1,3,"Somewhat comfortable","Public adoption ","Yes","Transportation to larger airports","Yes","18 - 25","Less than $25,000","Urban","2","2","1","1","1",1,"-1","1","1","0.25","1","3"
"Yes","Somewhat unlikely","Neutral","Helicopter,Commercial airplane (like American Airlines or Delta),Private airplane","Yes","Neutral","Moderately important","Up to 25% more",1,2,3,4,"Somewhat comfortable","The price to ride one","Yes","Short trip across a large city","Maybe","56+","$75,001 - $100,000","Suburban","-1","0","0","0","1",1,"1","1","0","0.25","4","2"
"Yes","Neutral","Neutral","Helicopter,Commercial airplane (like American Airlines or Delta),Private airplane","Yes","Neutral","Slightly important","No more than a regular taxi/ride-share",1,2,3,4,"Neither comfortable nor uncomfortable","reliabilty of current technology, operator error","Maybe","none come to mind at the present time.","Maybe","56+","Over $150,000","Suburban","0","0","0","-1","0",1,"1","0","0","0","6","2"
"Yes","Somewhat likely","Somewhat interested","Commercial airplane (like American Airlines or Delta)","No","Somewhat reliable","Extremely important","Up to 25% more",1,3,4,2,"Somewhat comfortable","where they would pick up and drop off","Maybe","as long as it doesn't cost a ton more and saves time","Yes","18 - 25","$25,000 - $50,000","Suburban","1","1","1","2","1",1,"-1","0","1","0.25","2","2"
"Yes","Extremely unlikely","Somewhat uninterested","Helicopter,Commercial airplane (like American Airlines or Delta),Private airplane","Yes","Extremely unreliable","Moderately important","More than double",3,1,2,4,"Extremely comfortable","Intergartion.  ",NA,"time saving and convience","Maybe","56+","Over $150,000","Urban","-2","-1","-2","0","2",1,"1",NA,"0","2","6","3"
"Yes","Somewhat likely","Somewhat interested","Helicopter,Commercial airplane (like American Airlines or Delta),Private airplane","Yes","Extremely reliable","Moderately important","Up to 50% more",2,1,3,4,"Somewhat comfortable",NA,"Yes","to avoid gridlock","Maybe","56+","$75,001 - $100,000","Suburban","1","1","2","0","1",1,"1","1","0","0.5","4","2"
"Yes","Somewhat likely","Extremely interested","Commercial airplane (like American Airlines or Delta),Private airplane","Yes","Extremely reliable","Moderately important","Up to 25% more",2,1,3,4,"Somewhat comfortable","Appropriate places to takeoff and land","Yes","Congestion and parking","Maybe","56+","Over $150,000","Urban","1","2","2","0","1",1,"1","1","0","0.25","6","3"
"Yes","Somewhat likely","Extremely interested","Helicopter,Commercial airplane (like American Airlines or Delta),Private airplane","Yes","Somewhat reliable","Moderately important","Up to 25% more",2,1,3,4,"Somewhat comfortable","Everyone learning airspace / traffic management / collision avoidance ","Yes","Highly congested cities ","Maybe","46 - 55","Over $150,000","Suburban","1","2","1","0","1",1,"1","1","0","0.25","6","2"
"Yes","Somewhat unlikely","Somewhat uninterested","Commercial airplane (like American Airlines or Delta)","Yes","Neutral","Moderately important","Up to 25% more",2,1,4,3,"Somewhat comfortable","Airspace congestion","Maybe","Avoiding traffic around a large city","Maybe","18 - 25","Over $150,000","Suburban","-1","-1","0","0","1",1,"1","0","0","0.25","6","2"
"Yes","Extremely likely","Extremely interested","Commercial airplane (like American Airlines or Delta),Private airplane","Yes","Extremely reliable","Very important","No more than a regular taxi/ride-share",3,1,2,4,"Extremely comfortable","Incompetent operators.  I've been a licensed pilot for more than 40 years and am very comfortable in the flying environment because I am well familiar with the care and diligence all pilots give to their machinery and operating skills.  Unfortunately, I do not have such confidence in the operators of future roadable aircraft.","Yes","Only if I were the pilot.","Maybe","56+","$50,001 - $75,000","Suburban","2","2","2","1","2",1,"1","1","0","0","3","2"
"Yes","Somewhat unlikely","Somewhat uninterested","Helicopter,Commercial airplane (like American Airlines or Delta),Private airplane","Yes","Somewhat reliable","Very important","No more than a regular taxi/ride-share",1,2,3,4,"Neither comfortable nor uncomfortable","Avoiding other air traffic.","Yes","Need for quick transportation.","Maybe","56+","$100,001 - $150,000","Urban","-1","-1","1","1","0",1,"1","1","0","0","5","3"
"Yes","Extremely likely","Somewhat interested","Commercial airplane (like American Airlines or Delta),Private airplane","Yes","Somewhat reliable","Very important","Up to 50% more",2,3,1,4,"Somewhat comfortable","Congested airspace","Yes","distance travel","Yes","56+","$75,001 - $100,000","Suburban","2","1","1","1","1",1,"1","1","1","0.5","4","2"
"Yes","Somewhat unlikely","Somewhat interested","Commercial airplane (like American Airlines or Delta)","No","Extremely unreliable","Very important","Up to 25% more",2,1,3,4,"Neither comfortable nor uncomfortable","Safety, noise pollution, and furthering class divide with expensive transportation options.","Yes","Rush hour traffic, long distance travel, routes with no highways.","Yes","18 - 25","Less than $25,000","Suburban","-1","1","-2","1","0",1,"-1","1","1","0.25","1","2"
"Yes","Extremely unlikely","Extremely uninterested","Helicopter,Commercial airplane (like American Airlines or Delta),Private airplane","Yes","Extremely reliable","Not at all important","Up to 25% more",1,2,3,4,"Extremely comfortable","Dying ","Yes","Going to the airport ","No","56+","Less than $25,000","Rural","-2","-2","2","-2","2",1,"1","1","-1","0.25","1","1"
"Yes","Somewhat likely","Extremely interested","Helicopter,Commercial airplane (like American Airlines or Delta),Private airplane","Yes","Extremely reliable","Slightly important","Up to 50% more",2,1,3,4,"Somewhat comfortable","If ""e"" - recharging;  ","Yes","ease of getting me ""close"" to my destination","Maybe","56+","Over $150,000","Suburban","1","2","2","-1","1",1,"1","1","0","0.5","6","2"
"Yes","Neutral","Extremely interested","Commercial airplane (like American Airlines or Delta),Private airplane","Yes","Somewhat reliable","Extremely important","Up to 50% more",1,4,3,2,"Somewhat comfortable","Safety","Yes","Time sensitive situations. ","Yes","46 - 55","Over $150,000","Suburban","0","2","1","2","1",1,"1","1","1","0.5","6","2"
"Yes","Extremely likely","Extremely interested","Helicopter,Commercial airplane (like American Airlines or Delta),Private airplane","Yes","Extremely reliable","Very important","No more than a regular taxi/ride-share",2,1,3,4,"Extremely comfortable","Cost","Yes","Any","Yes","56+","$100,001 - $150,000","Suburban","2","2","2","1","2",1,"1","1","1","0","5","2"
"Yes","Somewhat likely","Neutral","Commercial airplane (like American Airlines or Delta),Private airplane","Yes","Somewhat reliable","Extremely important","Up to 25% more",1,4,2,3,"Extremely comfortable",NA,"Yes",NA,"Maybe","18 - 25","Less than $25,000","Suburban","1","0","1","2","2",1,"1","1","0","0.25","1","2"
"Yes","Somewhat likely","Somewhat interested","Commercial airplane (like American Airlines or Delta),Private airplane","Yes","Extremely reliable","Slightly important","Up to 25% more",2,3,1,4,"Somewhat comfortable","location of launch site(s)","Yes","timing of attending an event","Yes","56+","$75,001 - $100,000","Suburban","1","1","2","-1","1",1,"1","1","1","0.25","4","2"
"Yes","Extremely unlikely","Extremely interested","Helicopter,Commercial airplane (like American Airlines or Delta)","Yes","Somewhat unreliable","Slightly important","Up to 50% more",1,2,3,4,"Extremely uncomfortable","I would have no control if something went wrong","Yes","Long drives","Yes","18 - 25",NA,"Suburban","-2","2","-1","-1","-2",1,"1","1","1","0.5",NA,"2"
