"Familiarity","WillingnessToTry","Interest","FlyingExperience","AirshowExperience","PerceivedReliability","EnvironmentalConcern","WillingnessToPay","ImportanceOfTimeSavings","ImportanceOfTrafficAvoidance","ImportanceOfConvenience","ImportanceOfEnvBenefits","ComfortWithFlying","MainConcern","DemonstrationInterest","AAMUseCases","OhioTesting","AgeGroup","IncomeLevel","AreaType","enc_WillingnessToTry","enc_Interest","enc_PerceivedReliability","enc_EnvironmentalConcern","enc_ComfortWithFlying","enc_FlyingExperience","enc_AirshowExperience","enc_DemonstrationInterest","enc_OhioTesting","enc_WillingnessToPay","enc_IncomeLevel","enc_AreaType"
"Yes","Somewhat unlikely","Somewhat uninterested","Helicopter,Commercial airplane (like American Airlines or Delta),Private airplane","Yes","Somewhat reliable","Very important","Up to 100% more (double)",1,2,3,4,"Somewhat uncomfortable","The qualifications of the operator and/or owners of the service","Yes","Places of high congestion like Atlanta, NYC, etc.","No","56+","Over $150,000","Suburban","-1","-1","1","1","-1",1,"1","1","-1","1","6","2"
"Yes","Somewhat likely","Somewhat interested","Helicopter,Commercial airplane (like American Airlines or Delta),Private airplane","Yes","Somewhat unreliable","Extremely important","Up to 25% more",2,3,4,1,"Somewhat comfortable","Price per seat + volume of flights. Range of electric aircraft is also a concern","Yes","Emergency situations, Time sensitive situations","Yes","18 - 25","Less than $25,000","Suburban","1","1","-1","2","1",1,"1","1","1","0.25","1","2"
"Yes","Extremely unlikely","Extremely uninterested","Helicopter,Commercial airplane (like American Airlines or Delta),Private airplane","Yes","Somewhat unreliable","Not at all important","No more than a regular taxi/ride-share",2,1,3,4,"Extremely uncomfortable","Unrealistic ideas of what it takes to get and keep an aircraft inspected and compliant with regulations. ","No","Never","Yes","18 - 25","$25,000 - $50,000","Urban","-2","-2","-1","-2","-2",1,"1","-1","1","0","2","3"
"Yes","Somewhat likely","Neutral","Commercial airplane (like American Airlines or Delta),Private airplane","Yes","Somewhat reliable","Extremely important","No more than a regular taxi/ride-share",1,2,3,4,"Somewhat uncomfortable","Accidents","Maybe","Rush","Yes","56+","$100,001 - $150,000","Suburban","1","0","1","2","-1",1,"1","0","1","0","5","2"
"Yes","Neutral","Extremely interested","Helicopter,Commercial airplane (like American Airlines or Delta),Private airplane","Yes","Extremely reliable","Moderately important","Up to 25% more",1,2,3,4,"Somewhat comfortable","Reliability","Yes","Travel to congested metro area","Maybe","56+","Over $150,000","Rural","0","2","2","0","1",1,"1","1","0","0.25","6","1"
"Yes","Neutral","Neutral","Helicopter,Commercial airplane (like American Airlines or Delta),Private airplane","Yes","Neutral","Very important","Up to 50% more",1,2,3,4,"Neither comfortable nor uncomfortable",NA,"No",NA,"Maybe","56+","$50,001 - $75,000","Suburban","0","0","0","1","0",1,"1","-1","0","0.5","3","2"
"Yes","Somewhat likely","Somewhat interested","Helicopter,Commercial airplane (like American Airlines or Delta),Private airplane","Yes","Extremely reliable","Very important","Up to 25% more",2,1,3,4,"Somewhat comfortable","The initial couple years of introduction.  Lots of mistakes will be made.","Yes","When having to cross rivers, bridges and other choke points.","Maybe","56+","$100,001 - $150,000","Suburban","1","1","2","1","1",1,"1","1","0","0.25","5","2"
NA,"Extremely likely","Extremely uninterested","Helicopter,Commercial airplane (like American Airlines or Delta),Private airplane","Yes","Neutral","Moderately important","Up to 25% more",1,2,3,4,"Extremely comfortable","Deconflicting traffic with conventional crewed aircraft","Yes","Everyday driving","Maybe","56+","Over $150,000","Suburban","2","-2","0","0","2",1,"1","1","0","0.25","6","2"
"Yes","Extremely likely","Somewhat uninterested","Commercial airplane (like American Airlines or Delta),Private airplane","Yes","Neutral","Very important","Up to 50% more",1,3,2,4,"Somewhat comfortable","Safety and price","Yes","Vacation","Yes","46 - 55","$100,001 - $150,000","Rural","2","-1","0","1","1",1,"1","1","1","0.5","5","1"
"Maybe","Neutral","Somewhat uninterested","Helicopter,Commercial airplane (like American Airlines or Delta),Private airplane","Yes","Neutral","Extremely important","Up to 25% more",2,1,3,4,"Somewhat uncomfortable","The technology needs to be proven before I would fly in one. ","Yes","Short distance and cheaper cost ","Yes","56+","Over $150,000","Suburban","0","-1","0","2","-1",1,"1","1","1","0.25","6","2"
"Yes","Somewhat likely","Extremely interested","Commercial airplane (like American Airlines or Delta)","Yes","Somewhat reliable","Very important","Up to 25% more",3,1,2,4,"Somewhat comfortable","New drivers who have to get used to lift off and landing a ground vehicle.","Yes","An area with a lot of traffic or wherever there are cliffs, mountains, and rivers.","Yes","18 - 25","$75,001 - $100,000","Urban","1","2","1","1","1",1,"1","1","1","0.25","4","3"
"Yes","Neutral","Somewhat interested","Helicopter,Commercial airplane (like American Airlines or Delta),Private airplane","Yes","Extremely reliable","Moderately important","Up to 25% more",1,2,3,4,"Somewhat comfortable","Safely working them into the NAS and weather limitations","Maybe",NA,"No","46 - 55","Over $150,000","Suburban","0","1","2","0","1",1,"1","0","-1","0.25","6","2"
"Yes","Extremely likely","Somewhat interested","Private airplane","Yes","Somewhat reliable","Extremely important","Up to 25% more",2,3,1,4,"Extremely comfortable","Are we discussing UAV? Passenger(s) but no Pilot. My concern would be with collision with another UAV.","Yes","I would use it to replace my Taxi/Uber/Lyft ground transportation.","Maybe","56+","Over $150,000","Urban","2","1","1","2","2",1,"1","1","0","0.25","6","3"
"Yes","Somewhat likely","Extremely interested","Commercial airplane (like American Airlines or Delta)","Maybe","Somewhat unreliable","Very important","Up to 50% more",1,3,2,4,"Somewhat uncomfortable","I am unsure of how the air traffic control system would work with such a concept. With flying taxi/ cars there would have to be a very efficient system to minimize deadly accidents and crashes. ","Yes","In a situation where it would save me a significant amount of time. ","Yes","18 - 25","Over $150,000","Suburban","1","2","-1","1","-1",1,"0","1","1","0.5","6","2"
"Yes","Extremely unlikely","Extremely interested","Helicopter,Commercial airplane (like American Airlines or Delta),Private airplane","Yes","Extremely unreliable","Extremely important","No more than a regular taxi/ride-share",3,2,4,1,"Extremely uncomfortable","Training of the pilots. What FARs they’d be under. ","Yes","If I were the pilot ","Yes","56+","$50,001 - $75,000","Suburban","-2","2","-2","2","-2",1,"1","1","1","0","3","2"
"Yes","Somewhat unlikely","Somewhat uninterested","Commercial airplane (like American Airlines or Delta),Private airplane","Yes","Somewhat reliable","Very important","No more than a regular taxi/ride-share",1,4,2,3,"Somewhat uncomfortable","safety ","Yes","faster than regular car travel","No","18 - 25","$50,001 - $75,000","Suburban","-1","-1","1","1","-1",1,"1","1","-1","0","3","2"
"Yes","Extremely likely","Extremely interested","Commercial airplane (like American Airlines or Delta),Private airplane","Yes","Somewhat reliable","Very important","Up to 25% more",1,2,3,4,"Somewhat comfortable",NA,"Yes","When time is limited, roads could be congested ","Yes","56+","$50,001 - $75,000","Suburban","2","2","1","1","1",1,"1","1","1","0.25","3","2"
"Yes","Extremely likely","Extremely interested","Helicopter,Commercial airplane (like American Airlines or Delta)","Yes","Extremely reliable","Very important","Up to 25% more",2,1,3,4,"Extremely comfortable","Separating UAS traffic in high-flight traffic areas. ","Yes","I would consider travel by UAS in my home city of New York as traffic by car can be up to three hours.","Yes","18 - 25","Over $150,000","Urban","2","2","2","1","2",1,"1","1","1","0.25","6","3"
"Yes","Somewhat unlikely","Somewhat interested","Commercial airplane (like American Airlines or Delta)","Yes","Neutral","Extremely important","Up to 25% more",1,3,4,2,"Somewhat uncomfortable","Safety. A minor ""fender bender""-type accident in a flying car or air taxi would likely be fatal.","Yes","Regional travel that would otherwise take me >2 hours.","Yes","46 - 55","$75,001 - $100,000","Suburban","-1","1","0","2","-1",1,"1","1","1","0.25","4","2"
"Yes","Somewhat unlikely","Neutral","Helicopter,Commercial airplane (like American Airlines or Delta),Private airplane","Yes","Extremely reliable","Moderately important","Up to 100% more (double)",1,3,2,4,"Somewhat comfortable","Control points, certification of air worthiness, licensing, etc. ","No","It would most likely be cost prohibitve but commuting through the air could be better.","Yes","56+",NA,"Suburban","-1","0","2","0","1",1,"1","-1","1","1",NA,"2"
"Yes","Somewhat likely","Somewhat interested","Helicopter,Commercial airplane (like American Airlines or Delta),Private airplane","Yes","Somewhat reliable","Moderately important","Up to 50% more",2,1,3,4,"Somewhat comfortable","convenience of use; I don't use taxi/ride share often and not sure how often I would need this service.","Yes","access due to traffic or distance that would make it significantly more convenient than a car.","Yes","56+","$75,001 - $100,000","Suburban","1","1","1","0","1",1,"1","1","1","0.5","4","2"
"Yes","Extremely likely","Extremely interested","Helicopter,Commercial airplane (like American Airlines or Delta)","Yes","Somewhat reliable","Very important","Up to 25% more",NA,NA,NA,NA,"Somewhat comfortable","Emissions and cost","Yes","Work, late to class, just because ","Yes","18 - 25","$50,001 - $75,000","Suburban","2","2","1","1","1",1,"1","1","1","0.25","3","2"
"Yes","Extremely likely","Extremely interested","Commercial airplane (like American Airlines or Delta),Private airplane","Yes","Somewhat reliable","Slightly important","No more than a regular taxi/ride-share",2,3,1,4,"Extremely comfortable",NA,"Yes",NA,"Maybe","46 - 55","$75,001 - $100,000","Suburban","2","2","1","-1","2",1,"1","1","0","0","4","2"
"Yes","Extremely likely","Extremely interested","Private airplane","Yes","Extremely reliable","Extremely important",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","2","2","2",NA,1,"1",NA,NA,NA,NA,NA
"Yes","Extremely likely","Extremely interested","Helicopter,Commercial airplane (like American Airlines or Delta)","Yes","Neutral","Moderately important",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","2","0","0",NA,1,"1",NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Yes","Extremely unlikely","Somewhat uninterested","Commercial airplane (like American Airlines or Delta)","No","Somewhat reliable","Extremely important",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-2","-1","1","2",NA,1,"-1",NA,NA,NA,NA,NA
"Yes","Extremely unlikely","Extremely uninterested","Commercial airplane (like American Airlines or Delta),Private airplane","Yes","Somewhat unreliable","Moderately important",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-2","-2","-1","0",NA,1,"1",NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Yes","Neutral","Somewhat interested","Helicopter,Commercial airplane (like American Airlines or Delta),Private airplane","Yes","Neutral","Extremely important","Up to 50% more",1,2,3,4,NA,NA,NA,NA,NA,NA,NA,NA,"0","1","0","2",NA,1,"1",NA,NA,"0.5",NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Yes","Extremely unlikely","Extremely uninterested","Commercial airplane (like American Airlines or Delta),Private airplane","Yes","Extremely unreliable","Extremely important","No more than a regular taxi/ride-share",2,3,1,4,"Extremely uncomfortable",NA,NA,NA,NA,NA,NA,NA,"-2","-2","-2","2","-2",1,"1",NA,NA,"0",NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Yes","Somewhat likely","Extremely interested","None of the above","Yes","Neutral","Slightly important",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","2","0","-1",NA,0,"1",NA,NA,NA,NA,NA
"Yes","Extremely unlikely","Neutral","Commercial airplane (like American Airlines or Delta)","Yes","Neutral","Extremely important","No more than a regular taxi/ride-share",1,4,3,2,"Somewhat uncomfortable","carbon emissions, air congestion with traffic","No",NA,"Maybe","18 - 25","$25,000 - $50,000","Suburban","-2","0","0","2","-1",1,"1","-1","0","0","2","2"
"Maybe","Somewhat likely","Extremely uninterested","Commercial airplane (like American Airlines or Delta)","Yes","Neutral","Extremely important","No more than a regular taxi/ride-share",4,2,3,1,"Somewhat uncomfortable","Trains are still probably cheaper and more environmentally friendly.","Maybe","longer distance travel maybe. mostly because ei would not be the one operating.","No","18 - 25","Less than $25,000","Urban","1","-2","0","2","-1",1,"1","0","-1","0","1","3"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Yes","Somewhat likely","Extremely interested","Commercial airplane (like American Airlines or Delta)","Yes","Somewhat reliable","Extremely important","Up to 50% more",1,2,3,4,"Somewhat comfortable","It would take a while to get the technology right, so early models would be buggy and inconvenient ","Yes","It would be a novelty until the infrastructure is there","Maybe","36 - 45","Over $150,000","Suburban","1","2","1","2","1",1,"1","1","0","0.5","6","2"
"Yes","Somewhat likely","Somewhat interested","Commercial airplane (like American Airlines or Delta)","Yes","Somewhat reliable","Very important","Up to 25% more",1,3,2,4,"Neither comfortable nor uncomfortable",NA,"Yes",NA,"Yes","18 - 25","Less than $25,000","Suburban","1","1","1","1","0",1,"1","1","1","0.25","1","2"
"Yes","Extremely unlikely","Extremely uninterested","Commercial airplane (like American Airlines or Delta)","No","Extremely unreliable","Extremely important","No more than a regular taxi/ride-share",2,4,1,3,"Extremely uncomfortable","too dangerous","No","if i had literally no other options, including walking","No","18 - 25","$25,000 - $50,000","Suburban","-2","-2","-2","2","-2",1,"-1","-1","-1","0","2","2"
"Yes","Somewhat likely","Extremely interested","Commercial airplane (like American Airlines or Delta)","No","Somewhat unreliable","Very important","Up to 100% more (double)",2,3,4,1,"Extremely comfortable","The implication of having more vehicles in the sky and with that more pilots that may be less trained than traditional pilots.","Yes","If I had to get somewhere quickly with pretty short notice with a large group of people.","Maybe","18 - 25","$75,001 - $100,000","Suburban","1","2","-1","1","2",1,"-1","1","0","1","4","2"
"Yes","Extremely likely","Extremely interested","Commercial airplane (like American Airlines or Delta)","No","Neutral","Extremely important",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","2","0","2",NA,1,"-1",NA,NA,NA,NA,NA
"Yes","Somewhat likely","Somewhat interested","Commercial airplane (like American Airlines or Delta),Private airplane","No","Somewhat reliable","Extremely important","Up to 25% more",1,2,3,4,"Neither comfortable nor uncomfortable","Their negative environmental impact and increased crowding of airspace.","Maybe","In a congested city.","Yes","18 - 25","Less than $25,000","Rural","1","1","1","2","0",1,"-1","0","1","0.25","1","1"
"Yes","Somewhat likely","Extremely interested","Commercial airplane (like American Airlines or Delta),Private airplane","Yes","Somewhat reliable","Moderately important","Up to 25% more",2,1,3,4,"Somewhat comfortable",NA,"Yes",NA,"Yes","18 - 25","Less than $25,000","Rural","1","2","1","0","1",1,"1","1","1","0.25","1","1"
"Yes","Somewhat unlikely","Somewhat uninterested","Commercial airplane (like American Airlines or Delta)","Yes","Extremely unreliable","Extremely important","No more than a regular taxi/ride-share",4,1,3,2,"Somewhat uncomfortable","Unpredictable","Maybe","Probably never","No","18 - 25","Less than $25,000","Suburban","-1","-1","-2","2","-1",1,"1","0","-1","0","1","2"
"No","Extremely likely","Extremely interested","Commercial airplane (like American Airlines or Delta),Private airplane","Yes","Neutral","Not at all important","No more than a regular taxi/ride-share",2,3,1,4,"Somewhat comfortable","How many people can it take.","Yes","Short trips into an event or space. Like parking to a stadium","Yes","56+","$100,001 - $150,000","Suburban","2","2","0","-2","1",1,"1","1","1","0","5","2"
"Yes","Somewhat unlikely","Extremely interested","Commercial airplane (like American Airlines or Delta),Private airplane","Yes","Somewhat unreliable","Extremely important","No more than a regular taxi/ride-share",2,3,1,4,"Somewhat uncomfortable","Noise","Yes","If it runs 24/7 I don’t want to be stuck anywhere","Yes","18 - 25","$100,001 - $150,000","Suburban","-1","2","-1","2","-1",1,"1","1","1","0","5","2"
"Yes","Extremely likely","Somewhat interested","Commercial airplane (like American Airlines or Delta),Private airplane","Yes","Somewhat reliable","Moderately important","Up to 100% more (double)",1,2,3,4,"Somewhat comfortable","I don’t see it becoming widely available or affordable for a long time.","Yes","Traveling to opposite ends of a city I am unfamiliar with.","Yes","18 - 25","Over $150,000","Rural","2","1","1","0","1",1,"1","1","1","1","6","1"
"Yes","Somewhat likely","Extremely interested","Commercial airplane (like American Airlines or Delta),Private airplane","Yes","Somewhat unreliable","Moderately important","No more than a regular taxi/ride-share",1,2,3,4,"Somewhat uncomfortable","Safety and Price ","Yes","In situations where there would be a lot of traffic","Yes","18 - 25","$50,001 - $75,000","Suburban","1","2","-1","0","-1",1,"1","1","1","0","3","2"
"Yes","Somewhat likely","Neutral","Private airplane","No","Somewhat unreliable","Extremely important","No more than a regular taxi/ride-share",1,3,4,2,"Neither comfortable nor uncomfortable","I couldn’t give an appropriate response due to my knowledge of the topic","Yes","Over areas of high traffic congestion only","Yes","18 - 25","Less than $25,000","Suburban","1","0","-1","2","0",1,"-1","1","1","0","1","2"
"Yes","Neutral","Somewhat interested","Helicopter,Commercial airplane (like American Airlines or Delta),Private airplane","Yes","Somewhat unreliable","Extremely important","Up to 50% more",NA,NA,NA,NA,"Neither comfortable nor uncomfortable","Cost","Yes",NA,"Yes","18 - 25","Less than $25,000","Suburban","0","1","-1","2","0",1,"1","1","1","0.5","1","2"
"Yes","Extremely unlikely","Somewhat interested","Helicopter,Commercial airplane (like American Airlines or Delta),Private airplane","Yes","Neutral","Slightly important","No more than a regular taxi/ride-share",1,2,3,4,"Somewhat uncomfortable",NA,"Yes","An emergency ","Yes","46 - 55","Over $150,000","Rural","-2","1","0","-1","-1",1,"1","1","1","0","6","1"
"Yes","Neutral","Extremely uninterested","Commercial airplane (like American Airlines or Delta),Private airplane","Yes","Neutral","Slightly important","No more than a regular taxi/ride-share",2,3,1,4,"Somewhat comfortable","Safety, reliability, proven track record ","Yes","100 mile trips ","Yes","46 - 55","Over $150,000","Rural","0","-2","0","-1","1",1,"1","1","1","0","6","1"
"Yes","Somewhat unlikely","Neutral","Helicopter,Commercial airplane (like American Airlines or Delta),Private airplane","Yes","Somewhat unreliable","Moderately important","Up to 50% more",1,2,3,4,"Somewhat uncomfortable","Safety","Yes","Area inaccessible by car","Maybe","56+","$50,001 - $75,000","Suburban","-1","0","-1","0","-1",1,"1","1","0","0.5","3","2"
"Yes","Neutral","Somewhat interested","Private airplane","Yes","Neutral","Moderately important","Up to 25% more",3,2,4,1,"Somewhat uncomfortable","Can the technology be as safe if not safer and more reliable then ground vehicles. ","Maybe","None at the moment ","Yes","36 - 45","$75,001 - $100,000","Suburban","0","1","0","0","-1",1,"1","0","1","0.25","4","2"
"Yes","Somewhat likely","Somewhat interested","Commercial airplane (like American Airlines or Delta),Private airplane","Yes","Neutral","Very important","Up to 25% more",3,1,2,4,"Neither comfortable nor uncomfortable",NA,"Yes",NA,"Yes","18 - 25","$50,001 - $75,000","Suburban","1","1","0","1","0",1,"1","1","1","0.25","3","2"
"Yes","Somewhat likely","Somewhat interested","None of the above","Yes","Somewhat reliable","Extremely important","Up to 25% more",NA,NA,NA,NA,"Somewhat comfortable",NA,"Yes",NA,"Yes","18 - 25","$25,000 - $50,000","Suburban","1","1","1","2","1",0,"1","1","1","0.25","2","2"
"Yes","Somewhat likely","Somewhat interested","Commercial airplane (like American Airlines or Delta),Private airplane","Yes","Somewhat reliable","Very important","Up to 25% more",1,2,3,4,"Somewhat comfortable","Regs. Is the pilot certified. Is the vehicle safe. ","Yes","Quick trip within the city if I don’t want to park/deal with traffic. Novelty in a new place. ","Yes","36 - 45","$75,001 - $100,000","Suburban","1","1","1","1","1",1,"1","1","1","0.25","4","2"
"No","Somewhat likely","Extremely interested","None of the above","No","Somewhat reliable","Very important","No more than a regular taxi/ride-share",2,1,3,4,"Neither comfortable nor uncomfortable","The prices and the environmental impact. ","Yes","If I were in a bigger city or I had a further distance to travel. ","Yes","18 - 25","$25,000 - $50,000","Suburban","1","2","1","1","0",0,"-1","1","1","0","2","2"
"Yes","Extremely unlikely","Somewhat interested","Commercial airplane (like American Airlines or Delta)","No","Somewhat unreliable","Very important","Up to 25% more",2,3,4,1,"Extremely uncomfortable","Feasibility","Yes","An emergency ","Yes","26 - 35","Less than $25,000","Suburban","-2","1","-1","1","-2",1,"-1","1","1","0.25","1","2"
"No","Somewhat unlikely","Neutral","Commercial airplane (like American Airlines or Delta)","No","Neutral","Very important","No more than a regular taxi/ride-share",2,1,3,4,"Somewhat uncomfortable","crashing","Yes","Assured safety","Maybe","26 - 35","Less than $25,000","Suburban","-1","0","0","1","-1",1,"-1","1","0","0","1","2"
"Maybe","Neutral","Somewhat interested","Commercial airplane (like American Airlines or Delta)","No","Somewhat unreliable","Extremely important","No more than a regular taxi/ride-share",NA,NA,NA,NA,"Neither comfortable nor uncomfortable","Possible crash","Yes","If it's cheaper","Maybe","18 - 25","Less than $25,000","Urban","0","1","-1","2","0",1,"-1","1","0","0","1","3"
"Yes","Somewhat likely","Extremely interested","Commercial airplane (like American Airlines or Delta)","Yes","Somewhat unreliable","Extremely important","No more than a regular taxi/ride-share",4,2,3,1,"Neither comfortable nor uncomfortable",NA,"Yes","Traveling","Maybe","18 - 25",NA,"Suburban","1","2","-1","2","0",1,"1","1","0","0",NA,"2"
"Yes","Somewhat likely","Somewhat interested","Commercial airplane (like American Airlines or Delta)","Yes","Somewhat unreliable","Very important","Up to 25% more",2,1,3,4,"Somewhat uncomfortable","It’s something to get used to ","Yes","Excursions ","Yes","18 - 25","$25,000 - $50,000","Suburban","1","1","-1","1","-1",1,"1","1","1","0.25","2","2"
"Yes","Extremely likely","Extremely interested","Commercial airplane (like American Airlines or Delta)","Yes","Somewhat reliable","Moderately important","Up to 25% more",1,4,3,2,"Extremely comfortable","Air traffic management ","Yes","Honestly, every situation","Yes","18 - 25","$75,001 - $100,000","Rural","2","2","1","0","2",1,"1","1","1","0.25","4","1"
"Yes","Extremely likely","Extremely interested","Commercial airplane (like American Airlines or Delta)","Yes","Somewhat reliable","Extremely important","Up to 50% more",2,3,1,4,"Somewhat comfortable","Errors in the initial development and use","Yes","For fun","Yes","18 - 25","Less than $25,000","Urban","2","2","1","2","1",1,"1","1","1","0.5","1","3"
"Yes","Extremely unlikely","Extremely interested","Private airplane","Yes","Neutral","Moderately important","Up to 100% more (double)",1,2,3,4,"Somewhat comfortable","Affordability, consumer trust, and government regulations.","Yes","If it was cheaper to ride an air taxi, I would choose that over a regular car. If the time savings were worth it in my opinion for the price as well.","No","18 - 25","Less than $25,000","Suburban","-2","2","0","0","1",1,"1","1","-1","1","1","2"
"Yes","Somewhat likely","Somewhat interested","Private airplane","Yes","Neutral","Not at all important","No more than a regular taxi/ride-share",2,1,3,4,"Somewhat comfortable","THe whole world would have to change to accommodate it. ","No","Driving like we do everyday.","Maybe","18 - 25","Over $150,000","Suburban","1","1","0","-2","1",1,"1","-1","0","0","6","2"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
